Name,Id,ExternalInfoId,LanguageType,Members
flash and the pan,765e46e0-b773-4000-a9dc-37b46d08a51c,2575607,English,
flash boys,7029abc9-3131-4999-907c-34aa72c1845f,42355948,English,
flesh for lulu,12817b9f-1e5f-4913-abfa-14768801933a,6581599,English,
florence + the machine,201fe250-05ff-4465-902c-c03ba57b29bd,3773689,German,
force 1,9d209a58-d4da-47ad-a8a7-67fe36caeda1,49403568,English,
forest city lovers,48ff262d-0f7b-48a2-87dc-e0eb16eabc7c,16487536,English,
frankie goes to hollywood,1b6b2ce9-2271-4d0d-8382-791ed4449c12,11229,English,
free cake for every creature,a6452fa1-6811-4457-bc0f-a69759f23bd0,53300240,English,
friends of dean martinez,276faabe-0d52-4c93-a947-6a22b6c1af43,10362055,English,
fruit & flowers,a04e77b6-03f9-4894-a16d-203307e2773f,60358319,English,
future clouds and radar,9d8aec86-8629-4d6e-b525-476afa7d6fda,12169390,English,
g girls,05f958e1-cfa8-4ed6-ae04-09b2fbefc2ac,53356073,English,
galaxie 500,c00a9adc-8063-406b-9647-e94ed79b27dc,276219,English,
gang gang dance,2c03ad98-ad68-4218-895d-2f171410462b,3864881,English,
gang of four,8496117c-afb8-4ffb-87f5-d6dff3e460cc,50441,English,
gang of youths,cc6a28d1-8762-47e8-aa98-05d9ebb99283,48823119,English,
gary's gang,e0f6dc2b-b461-4c45-9b1a-af6771fc1e8e,2174085,English,
get a grip,91790f79-f225-4543-a882-75b0a51eb3d4,523810,English,
get busy committee,75270afc-b0ec-4237-be99-a7d0cb61e92a,24856130,English,
get cape. wear cape. fly,224289b0-d32d-42da-83c6-af1e29242285,5918355,English,
gift of gab,b95542ed-d0e2-4423-9dac-3755d925eda8,6582367,English,
gil mantera's party dream,038f0f9e-eb7a-4250-b3bd-f6ac041f8d7c,6836168,English,
gina x performance,870d81c8-ff27-4646-a46d-75d4d3be6f03,14543174,English,
girls,7ff7a6f2-e809-40fd-9aa8-d283d40d2ef8,2966048,French,
girls in hawaii,9c01b0ec-a591-47b5-9337-ef0c93379039,5318970,English,
girls just want to have fun,18dbcb39-010d-4c28-b26d-738534748c8a,90139,English,
girls names,3dde32ab-166c-43ab-80be-bc414e3c7cd3,37831900,English,
giulia y los tellarini,7331aa91-a996-4e81-a4b9-97289c0a2a43,2980518,French,
glam sam and his combo,fc205e3c-313c-4fe3-8ae9-90ec25c0c40d,34896305,English,
gods and monsters,d0bd36a9-dbab-418d-8489-8920beec56b5,18137434,English,
godspeed you! black emperor,6f45e833-f771-40f2-b44a-3089866aba80,158471,English,
golden arm trio,ee531207-44b2-47c1-a7b3-82fae87ccfa6,17447171,English,
golden boys,0b7286e7-889e-4396-a9fa-b15cac278d63,37018211,English,
goombay dance band,c04c23f6-9576-4604-9252-37e767416dff,5791282,English,
gore gore girls,472b2132-5a59-45f1-9e06-83664596c924,1768743,English,
got a girl,425f19d6-3802-49ef-9c7b-71e49cef71cf,43066389,English,
grand analog,7468233c-94b5-488a-b104-f4f3d588648a,21034008,English,
grand atlantic,773554f4-0926-46b9-9507-4a4b2ca1b0e7,46660996,English,
grand blanc,2dc7828c-32d0-4c4f-9300-8903a78fe586,4686245,Spanish,
grand funk railroad,32178ad0-6fed-4f80-aeef-92927972e41e,149787,English,
grand hallway,d0f16575-cc96-4a33-8118-87416fa575c4,16550777,English,
grand island,edd604fa-6683-42f0-afea-d6c0310c1a40,439333,English,
grand national,c99d5789-f280-477b-9819-e4e277ae1318,74730,English,
grand ole party,bc7eb399-8712-44a5-b78e-0d805b100bdc,13406349,English,
grand pianoramax,afef7013-76ba-483c-9dc6-19cb82f70f9c,18634604,English,
grand tourism,47e1121d-5a4d-455b-b99f-47f4d75d5125,356452,French,
great lakes myth society,6c167322-e468-45f1-8ba1-d8bb4af37f5b,3809375,English,
greece 2000,9480abaa-0996-408b-86dd-05e09783bb07,19196669,English,
green milk from the planet orange,e5027899-d52f-4355-a50f-39f3a36a83d9,16095664,English,
greg kihn band,c89696f9-e816-4ebc-87b2-8dea196576fc,3513760,Portuguese,
groove collective,1ddc10b3-b158-454f-bbc1-3383aec08cac,13298133,English,
